DAT_MED;HR_MED;TEM_INS;UMD_INS;VEN_VEL
2012-01-09;500;24.9;91.0;0.4
2012-01-09;600;24.8;90.0;0.4
2012-01-09;700;24.6;90.0;0.5
2012-01-09;800;24.6;91.0;0.0
2012-01-09;900;24.4;90.0;0.0
2012-01-09;1000;24.5;91.0;0.1
2012-01-09;1100;26.2;85.0;0.7
2012-01-09;1200;27.8;79.0;1.4
2012-01-09;1300;29.4;70.0;1.1
2012-01-09;1400;30.2;62.0;2.2
2012-01-09;1500;30.5;63.0;0.9
2012-01-09;1600;31.0;60.0;1.3
2012-01-09;1700;32.0;60.0;1.9
2012-01-09;1800;26.8;82.0;1.0
2012-01-09;1900;28.3;82.0;0.6
2012-01-09;2000;28.8;75.0;2.1
2012-01-09;2100;28.2;76.0;1.9
2012-01-09;2200;27.4;80.0;1.4
2012-01-09;2300;27.1;81.0;1.2
2012-01-10;0;26.6;79.0;1.4
2012-01-10;100;26.3;81.0;0.9
2012-01-10;200;25.8;83.0;0.4
2012-01-10;300;25.5;85.0;0.3
2012-01-10;400;25.2;86.0;0.3
2012-01-10;500;24.7;88.0;0.1
2012-01-10;600;24.5;90.0;0.2
2012-01-10;700;24.1;91.0;0.2
2012-01-10;800;24.0;91.0;0.2
2012-01-10;900;23.9;92.0;0.2
2012-01-10;1000;24.7;91.0;0.2
2012-01-10;1100;26.4;86.0;1.0
2012-01-10;1200;28.2;76.0;1.1
2012-01-10;1300;29.5;68.0;1.6
2012-01-10;1400;31.6;62.0;1.1
2012-01-10;1500;31.5;60.0;1.2
2012-01-10;1600;26.5;73.0;1.9
2012-01-10;1700;26.7;78.0;0.7
2012-01-10;1800;26.7;78.0;1.2
2012-01-10;2000;21.4;91.0;1.4
2012-01-10;2100;23.2;92.0;0.0
2012-01-10;2200;23.6;92.0;0.2
2012-01-10;2300;24.4;92.0;1.1
2012-01-11;0;25.0;89.0;0.6
2012-01-11;100;24.7;89.0;0.4
2012-01-11;200;24.3;90.0;0.1
2012-01-11;300;24.3;91.0;0.2
2012-01-11;400;24.3;90.0;1.0
2012-01-11;500;24.1;91.0;0.1
2012-01-11;600;24.0;91.0;0.0
2012-01-11;700;23.8;92.0;0.0
2012-01-11;800;23.7;92.0;0.0
2012-01-11;900;23.6;93.0;0.0
2012-01-11;1000;23.8;93.0;0.0
2012-01-11;1100;25.7;90.0;0.4
2012-01-11;1200;27.4;84.0;0.9
2012-01-11;1300;28.1;78.0;1.0
2012-01-11;1400;30.6;71.0;0.7
2012-01-11;1500;30.5;64.0;1.3
2012-01-11;1600;31.3;60.0;1.6
2012-01-11;1700;32.9;53.0;1.2
2012-01-11;1800;30.0;68.0;1.8
2012-01-11;1900;28.8;75.0;1.3
2012-01-11;2000;27.4;84.0;0.8
2012-01-11;2100;27.3;84.0;1.9
2012-01-11;2200;23.1;91.0;1.2
2012-01-11;2300;23.7;92.0;0.1
2012-01-12;0;23.8;91.0;0.5
2012-01-12;100;24.0;92.0;1.2
2012-01-12;200;24.0;92.0;0.0
2012-01-12;300;24.0;93.0;0.0
2012-01-12;400;24.1;92.0;0.0
2012-01-12;500;24.1;93.0;0.0
2012-01-12;600;24.0;92.0;0.1
2012-01-12;700;23.7;93.0;0.0
2012-01-12;800;23.5;93.0;0.0
2012-01-12;900;23.5;93.0;0.0
2012-01-12;1000;23.9;93.0;0.1
2012-01-12;1100;25.8;89.0;1.3
2012-01-12;1200;27.7;82.0;1.6
2012-01-12;1300;28.6;76.0;1.7
2012-01-12;1400;29.8;71.0;1.0
2012-01-12;1500;31.3;65.0;2.2
2012-01-12;1600;31.6;63.0;1.0
2012-01-12;1700;30.9;63.0;0.4
2012-01-12;1800;27.4;72.0;0.4
2012-01-12;1900;28.6;74.0;2.0
2012-01-12;2000;26.3;84.0;2.5
2012-01-12;2100;25.2;91.0;0.0
2012-01-12;2200;25.6;90.0;1.2
2012-01-12;2300;26.4;81.0;1.0
2012-01-13;0;26.3;80.0;0.9
2012-01-13;100;26.1;81.0;0.6
2012-01-13;200;25.8;83.0;0.6
2012-01-13;300;25.4;85.0;0.3
2012-01-13;400;25.3;86.0;0.3
2012-01-13;500;24.9;88.0;0.5
2012-01-13;600;24.5;89.0;0.1
2012-01-13;700;24.3;90.0;0.1
2012-01-13;800;24.1;91.0;0.1
2012-01-13;900;23.8;91.0;0.2
2012-01-13;1000;24.2;92.0;0.2
2012-01-13;1100;25.9;88.0;0.7
2012-01-13;1200;28.1;79.0;1.2
2012-01-13;1300;29.5;73.0;1.3
2012-01-13;1400;30.0;67.0;1.2
2012-01-13;1500;31.5;61.0;1.5
2012-01-13;1600;31.2;56.0;1.6
2012-01-13;1700;32.9;53.0;2.6
2012-01-13;1800;31.3;61.0;2.1
2012-01-13;1900;31.5;58.0;2.3
2012-01-13;2000;24.5;83.0;1.1
2012-01-13;2100;24.1;87.0;1.3
2012-01-13;2200;23.9;88.0;0.6
2012-01-13;2300;24.4;87.0;0.6
2012-01-14;0;24.5;87.0;0.8
2012-01-14;100;24.7;87.0;0.9
2012-01-14;200;24.7;86.0;0.8
2012-01-14;300;24.8;87.0;0.8
2012-01-14;400;24.6;89.0;0.3
2012-01-14;500;24.3;90.0;0.3
2012-01-14;600;24.1;90.0;0.4
2012-01-14;700;23.9;90.0;0.7
2012-01-14;800;23.4;91.0;0.1
2012-01-14;900;23.1;92.0;0.1
2012-01-14;1000;23.4;93.0;0.4
2012-01-14;1100;25.6;90.0;0.8
2012-01-14;1200;27.4;83.0;1.6
2012-01-14;1300;29.2;73.0;1.8
2012-01-14;1400;29.2;72.0;1.6
2012-01-14;1500;30.9;63.0;2.2
2012-01-14;1600;32.6;56.0;1.9
2012-01-14;1700;30.5;67.0;0.7
2012-01-14;1800;26.7;78.0;1.4
2012-01-14;1900;30.6;77.0;1.4
2012-01-14;2000;29.7;70.0;1.8
2012-01-14;2100;29.1;71.0;2.5
2012-01-14;2200;28.6;70.0;2.1
2012-01-14;2300;27.9;72.0;0.9
2012-01-15;0;27.4;76.0;1.4
2012-01-15;100;26.9;78.0;0.8
2012-01-15;200;26.5;81.0;0.4
2012-01-15;300;26.2;82.0;0.8
2012-01-15;400;25.8;84.0;0.3
2012-01-15;500;25.1;87.0;0.0
2012-01-15;600;24.9;89.0;0.4
2012-01-15;700;24.8;89.0;0.0
2012-01-15;800;24.5;91.0;0.0
2012-01-15;900;24.5;91.0;0.1
2012-01-15;1000;24.6;92.0;0.0
2012-01-15;1100;26.7;87.0;0.4
2012-01-15;1200;28.0;81.0;0.9
2012-01-15;1300;29.3;72.0;1.0
2012-01-15;1400;29.5;67.0;1.5
2012-01-15;1500;31.0;61.0;0.9
2012-01-15;1600;30.8;63.0;1.9
2012-01-15;1700;29.5;69.0;1.3
2012-01-15;1800;29.2;77.0;1.9
2012-01-15;1900;25.0;86.0;1.2
2012-01-15;2000;26.4;87.0;1.8
2012-01-15;2100;26.4;86.0;1.9
2012-01-15;2200;26.8;86.0;1.9
2012-01-15;2300;26.7;83.0;1.6
2012-01-16;0;26.6;81.0;1.6
2012-01-16;100;25.9;84.0;0.8
2012-01-16;200;26.0;85.0;0.3
2012-01-16;300;25.7;85.0;0.0
2012-01-16;400;25.3;90.0;0.0
2012-01-16;500;25.0;91.0;0.8
2012-01-16;600;24.8;92.0;1.2
2012-01-16;700;24.2;92.0;1.4
2012-01-16;800;24.0;93.0;0.8
2012-01-16;1000;22.4;92.0;2.7
2012-01-16;1100;22.6;92.0;2.2
2012-01-16;1200;23.1;92.0;0.1
2012-01-16;1300;23.4;92.0;1.2
2012-01-16;1400;24.9;89.0;0.9
2012-01-16;1500;26.0;81.0;1.2
2012-01-16;1600;26.6;80.0;1.2
2012-01-16;1700;22.4;89.0;1.4
2012-01-16;1800;22.0;91.0;2.5
2012-01-16;1900;22.2;92.0;0.3
2012-01-16;2000;22.4;92.0;0.0
2012-01-16;2100;22.5;93.0;0.2
2012-01-16;2200;22.4;93.0;0.0
2012-01-16;2300;22.5;93.0;0.0
2012-01-17;0;22.3;93.0;0.2
2012-01-17;100;22.4;93.0;0.2
2012-01-17;200;22.5;92.0;0.7
2012-01-17;300;22.3;93.0;1.2
2012-01-17;400;22.4;93.0;1.1
2012-01-17;500;22.5;93.0;1.1
2012-01-17;600;22.3;93.0;0.8
2012-01-17;700;22.4;93.0;0.7
2012-01-17;800;22.5;93.0;0.1
2012-01-17;900;22.2;92.0;0.0
2012-01-17;1000;22.7;92.0;0.0
2012-01-17;1100;23.5;91.0;0.0
2012-01-17;1200;24.8;86.0;0.7
2012-01-17;1300;26.7;75.0;1.1
2012-01-17;1400;28.1;74.0;0.6
2012-01-17;1500;29.1;69.0;1.1
2012-01-17;1600;29.7;67.0;1.2
2012-01-17;1700;29.0;69.0;1.2
2012-01-17;1800;29.4;68.0;0.8
2012-01-17;1900;29.5;70.0;1.2
2012-01-17;2000;29.7;70.0;1.1
2012-01-17;2100;28.5;73.0;1.4
2012-01-17;2200;27.4;78.0;0.2
2012-01-17;2300;27.2;81.0;1.3
2012-01-18;0;26.9;82.0;0.1
2012-01-18;100;26.6;80.0;0.4
2012-01-18;200;25.7;84.0;0.1
2012-01-18;300;24.3;88.0;1.2
2012-01-18;400;23.8;87.0;1.0
2012-01-18;500;23.5;86.0;1.5
2012-01-18;600;23.0;88.0;1.6
2012-01-18;700;22.7;91.0;1.3
2012-01-18;800;22.7;91.0;0.3
2012-01-18;900;22.8;92.0;0.9
2012-01-18;1000;23.0;91.0;1.8
2012-01-18;1100;23.9;90.0;1.6
2012-01-18;1200;25.9;84.0;0.3
2012-01-18;1300;27.4;78.0;1.5
2012-01-18;1400;27.9;77.0;1.5
2012-01-18;1500;29.6;73.0;1.8
2012-01-18;1600;28.7;72.0;1.7
2012-01-18;1700;29.1;72.0;1.3
2012-01-18;1800;25.9;86.0;1.2
2012-01-18;1900;21.4;90.0;0.6
2012-01-18;2000;23.4;89.0;0.8
2012-01-18;2100;24.5;87.0;0.2
2012-01-18;2200;24.1;88.0;0.0
2012-01-18;2300;25.2;90.0;1.2
2012-01-19;0;25.1;89.0;0.4
2012-01-19;100;24.4;91.0;0.0
2012-01-19;200;24.4;92.0;0.0
2012-01-19;300;24.6;92.0;0.0
2012-01-19;400;24.3;93.0;0.1
2012-01-19;500;24.1;93.0;0.1
2012-01-19;600;24.1;93.0;0.2
2012-01-19;700;23.7;93.0;1.1
2012-01-19;800;23.7;93.0;1.1
2012-01-19;900;23.6;93.0;0.8
2012-01-19;1000;23.8;93.0;0.9
2012-01-19;1100;24.9;91.0;1.7
2012-01-19;1200;25.7;87.0;2.0
2012-01-19;1300;27.0;84.0;1.4
2012-01-19;1400;28.9;74.0;1.9
2012-01-19;1500;30.0;67.0;1.7
2012-01-19;1600;24.8;76.0;2.2
2012-01-19;1700;21.9;90.0;1.8
2012-01-19;1800;21.6;90.0;0.5
2012-01-19;1900;22.2;92.0;1.4
2012-01-19;2000;22.5;92.0;0.3
2012-01-19;2100;22.4;92.0;0.6
2012-01-19;2200;22.5;93.0;0.0
2012-01-19;2300;22.7;93.0;0.0
2012-01-20;0;22.9;93.0;0.1
2012-01-20;100;22.9;93.0;0.0
2012-01-20;200;22.8;93.0;0.0
2012-01-20;300;22.7;93.0;0.0
2012-01-20;400;22.8;94.0;0.0
2012-01-20;500;22.9;94.0;1.1
2012-01-20;600;23.0;93.0;1.2
2012-01-20;700;22.8;93.0;0.7
2012-01-20;800;22.8;93.0;0.5
2012-01-20;900;22.8;92.0;1.3
2012-01-20;1000;22.8;92.0;1.1
2012-01-20;1100;23.5;91.0;0.7
2012-01-20;1200;25.0;89.0;0.9
2012-01-20;1300;27.0;80.0;2.5
2012-01-20;1400;28.1;76.0;2.0
2012-01-20;1500;29.5;72.0;2.1
2012-01-20;1600;29.9;65.0;1.3
2012-01-20;1700;31.5;61.0;1.5
2012-01-20;1800;31.6;58.0;0.8
2012-01-20;1900;32.2;55.0;1.1
2012-01-20;2000;28.4;64.0;1.4
2012-01-20;2100;26.3;76.0;2.2
2012-01-20;2200;25.7;79.0;0.9
2012-01-20;2300;25.7;79.0;0.8
2012-01-21;0;25.3;84.0;0.6
2012-01-21;100;25.0;86.0;0.4
2012-01-21;200;24.3;89.0;0.4
2012-01-21;300;24.2;90.0;0.2
2012-01-21;400;24.5;90.0;0.0
2012-01-21;500;24.6;90.0;0.0
2012-01-21;600;24.4;91.0;0.0
2012-01-21;700;24.7;90.0;0.3
2012-01-21;800;24.4;91.0;0.5
2012-01-21;900;24.2;92.0;0.2
2012-01-21;1000;24.6;91.0;0.3
2012-01-21;1100;25.4;89.0;1.1
2012-01-21;1200;27.2;82.0;1.4
2012-01-21;1300;28.0;76.0;2.0
2012-01-21;1400;29.8;68.0;1.3
2012-01-21;1500;30.4;65.0;1.1
2012-01-21;1600;25.3;79.0;1.5
2012-01-21;1700;26.9;83.0;0.7
2012-01-21;1800;25.8;81.0;2.6
2012-01-21;1900;24.9;90.0;0.2
2012-01-21;2000;22.8;92.0;0.6
2012-01-21;2100;22.9;92.0;0.5
2012-01-21;2200;23.2;93.0;0.2
2012-01-21;2300;23.5;93.0;0.2
2012-01-22;0;23.7;93.0;0.0
2012-01-22;100;24.0;93.0;0.0
2012-01-22;200;24.1;93.0;0.6
2012-01-22;300;24.4;91.0;0.6
2012-01-22;400;24.1;92.0;0.3
2012-01-22;500;23.9;92.0;0.0
2012-01-22;600;23.9;93.0;0.0
2012-01-22;700;23.5;93.0;0.0
2012-01-22;800;23.5;93.0;0.0
2012-01-22;900;23.6;94.0;0.1
2012-01-22;1000;24.0;94.0;0.0
2012-01-22;1100;25.7;91.0;0.8
2012-01-22;1200;27.2;88.0;0.6
